Name,first_season,last_season,games_played,games_started,teams,num_teams,key_mlbam,key_retro,key_bbref,key_fangraphs,pitcher_cleaned
Blake Snell,2016,2019,97,97,['Rays'],1,605483,snelb001,snellbl01,13543,blakesnell
Blake Stein,2000,2002,80,34,['Royals'],1,133121,steib002,steinbl01,632,blakestein
Blake Treinen,2014,2019,345,7,['Nationals' '- - -' 'Athletics'],3,595014,treib001,treinbl01,12572,blaketreinen
Bobby Cramer,2010,2011,9,4,['Athletics'],1,450864,cramb001,cramebo01,2744,bobbycramer
Bobby Jones,2000,2002,80,78,['Mets' 'Padres'],2,116717,joneb003,jonesbo03,1039,bobbyjones
Bobby Jones,2000,2004,30,3,['Mets' '- - -' 'Red Sox'],3,116718,joneb004,jonesbo04,1454,bobbyjones
Bobby Keppel,2006,2009,49,6,['Royals' 'Rockies' 'Twins'],3,430670,keppb001,keppebo01,2229,bobbykeppel
Bobby Livingston,2006,2007,13,10,['Mariners' 'Reds'],2,455751,livib001,livinbo01,3876,bobbylivingston
Bobby Madritsch,2004,2005,16,12,['Mariners'],1,425476,madrb001,madribo01,2085,bobbymadritsch
Bobby Munoz,2001,2001,15,7,['Expos'],1,119528,munob001,munozbo01,1009326,bobbymunoz
Bobby Parnell,2008,2016,335,8,['Mets' 'Tigers'],2,458730,parnb001,parnebo01,9926,bobbyparnell
Bobby Poyner,2018,2019,33,1,['Red Sox'],1,596074,poynb001,poynebo01,17987,bobbypoyner
Bobby Witt,2000,2001,21,9,['Indians' 'Diamondbacks'],2,124492,wittb001,wittbo01,1014170,bobbywitt
Boof Bonser,2006,2010,111,60,['Twins' '- - -'],2,425818,bonsb001,bonsebo01,2159,boofbonser
Brad Bergesen,2009,2012,102,59,['Orioles' 'Diamondbacks'],2,448269,bergb002,bergebr02,8375,bradbergesen
Brad Halsey,2004,2006,88,40,['Yankees' 'Diamondbacks' 'Athletics'],3,433517,halsb001,halsebr01,4760,bradhalsey
Brad Hand,2011,2019,373,43,['Marlins' 'Padres' '- - -' 'Indians'],4,543272,handb001,handbr01,9111,bradhand
Brad Hennessey,2004,2008,148,44,['Giants'],1,430913,hennb001,hennebr01,3720,bradhennessey
Brad Keller,2018,2019,69,48,['Royals'],1,641745,kellb003,kellebr01,15734,bradkeller
Brad Kilby,2009,2010,16,1,['Athletics'],1,489020,kilbb001,kilbybr01,9823,bradkilby
Brad Lidge,2002,2012,603,1,['Astros' 'Phillies' 'Nationals'],3,400058,lidgb001,lidgebr01,563,bradlidge
Brad Lincoln,2010,2014,99,22,['Pirates' '- - -' 'Blue Jays' 'Phillies'],4,453184,lincb001,lincobr01,4241,bradlincoln
Brad Mills,2009,2015,21,14,['Blue Jays' 'Angels' '- - -' 'Athletics'],4,502166,millb001,millsbr02,4420,bradmills
Brad Peacock,2011,2019,178,83,['Nationals' 'Astros'],2,502748,peacb001,peacobr01,5401,bradpeacock
Brad Penny,2000,2014,349,319,['Marlins' '- - -' 'Dodgers' 'Cardinals' 'Tigers' 'Giants'],6,207267,pennb002,pennybr01,535,bradpenny
Brad Radke,2000,2006,214,214,['Twins'],1,120878,radkb001,radkebr01,748,bradradke
Brad Thomas,2001,2011,72,7,['Twins' 'Tigers'],2,346801,thomb001,thomabr01,757,bradthomas
Brad Thompson,2005,2010,201,32,['Cardinals' 'Royals'],2,433581,thomb002,thompbr01,4911,bradthompson
Brad Voyles,2001,2003,40,3,['Royals'],1,400143,voylb001,voylebr01,1490,bradvoyles
Braden Looper,2000,2009,594,97,['Marlins' 'Mets' 'Cardinals' 'Brewers'],4,131702,loopb001,loopebr01,526,bradenlooper
Braden Shipley,2016,2018,26,14,['Diamondbacks'],1,640463,shipb001,shiplbr01,15158,bradenshipley
Brady Rodgers,2016,2019,8,1,['Astros'],1,572086,rodgb001,rodgebr01,13393,bradyrodgers
Brandon Backe,2002,2009,145,79,['Devil Rays' 'Astros'],2,407840,backb001,backebr01,1529,brandonbacke
Brandon Beachy,2010,2015,48,48,['Braves' 'Dodgers'],2,545404,beacb001,beachbr01,8851,brandonbeachy
Brandon Claussen,2003,2006,58,58,['Yankees' 'Reds'],2,407799,claub001,clausbr01,814,brandonclaussen
Brandon Cumpton,2013,2018,23,15,['Pirates' 'Blue Jays'],2,592238,cumpb001,cumptbr01,11366,brandoncumpton
Brandon Dickson,2011,2012,8,1,['Cardinals'],1,505447,dickb001,dicksbr01,6979,brandondickson
Brandon Duckworth,2001,2008,134,84,['Phillies' 'Astros' 'Royals'],3,346855,duckb001,duckwbr01,954,brandonduckworth
Brandon Finnegan,2014,2018,67,44,['Royals' '- - -' 'Reds'],3,605232,finnb001,finnebr01,16208,brandonfinnegan
Brandon Knight,2001,2008,15,2,['Yankees' 'Mets'],2,150284,knigb001,knighbr01,831,brandonknight
Brandon Lyon,2001,2013,572,21,['Blue Jays' 'Red Sox' 'Diamondbacks' 'Tigers' 'Astros' '- - -' 'Mets'],7,407193,lyonb003,lyonbr01,1312,brandonlyon
Brandon Maurer,2013,2018,289,21,['Mariners' 'Padres' '- - -' 'Royals'],4,543506,maurb001,maurebr01,4878,brandonmaurer
Brandon McCarthy,2005,2018,255,197,"['White Sox' 'Rangers' 'Athletics' 'Diamondbacks' '- - -' 'Dodgers'
 'Braves']",7,435221,mccab001,mccarbr01,4662,brandonmccarthy
Brandon Morrow,2007,2018,334,113,['Mariners' 'Blue Jays' 'Padres' 'Dodgers' 'Cubs'],5,453344,morrb001,morrobr01,9346,brandonmorrow
Brandon Webb,2003,2009,199,198,['Diamondbacks'],1,425630,webbb001,webbbr01,1692,brandonwebb
Brandon Woodruff,2017,2019,49,34,['Brewers'],1,605540,woodb005,woodrbr01,16162,brandonwoodruff
Brandon Workman,2013,2019,188,18,['Red Sox'],1,519443,workb001,workmbr01,11428,brandonworkman
Brendan McKay,2019,2019,13,11,['Rays'],1,656713,mckab001,mckaybr01,20186,brendanmckay
Brent Suter,2016,2019,65,34,['Brewers'],1,608718,suteb001,suterbr01,13942,brentsuter
Bret Saberhagen,2001,2001,3,3,['Red Sox'],1,121604,sabeb001,saberbr01,1011355,bretsaberhagen
Brett Anderson,2009,2019,188,176,['Athletics' 'Rockies' 'Dodgers' '- - -'],4,474463,andeb004,anderbr04,8223,brettanderson
Brett Cecil,2009,2018,443,74,['Blue Jays' 'Cardinals'],2,446399,cecib001,cecilbr01,2660,brettcecil
Brett Hinchliffe,2000,2001,3,1,['Angels' 'Mets'],2,150120,hincb001,hinchbr01,1005840,bretthinchliffe
Brett Jodie,2001,2001,8,3,['- - -'],1,407093,jodib001,jodiebr01,1006415,brettjodie
Brett Kennedy,2018,2018,6,6,['Padres'],1,664028,kennb001,kennebr02,17877,brettkennedy
Brett Laxton,2000,2000,6,1,['Royals'],1,150423,laxtb001,laxtobr01,1007412,brettlaxton
Brett Martin,2019,2019,51,2,['Rangers'],1,656685,martb002,martibr01,17369,brettmartin
Brett Myers,2002,2013,381,252,['Phillies' 'Astros' '- - -' 'Indians'],4,408206,myerb001,myersbr01,962,brettmyers
Brett Oberholtzer,2013,2016,82,44,['Astros' '- - -'],2,519085,oberb001,oberhbr01,3855,brettoberholtzer
Brett Tomko,2000,2011,308,187,['Mariners' 'Padres' 'Cardinals' 'Giants' 'Dodgers' '- - -' 'Rangers'],7,123387,tomkb001,tomkobr01,1056,bretttomko
Brian Anderson,2000,2005,170,141,['Diamondbacks' '- - -' 'Royals'],3,110230,andeb002,anderbr02,44,briananderson
Brian Bannister,2006,2010,117,114,['Mets' 'Royals'],2,446454,bannb001,bannibr01,5718,brianbannister
Brian Bass,2008,2010,101,4,['- - -' 'Orioles' 'Pirates'],3,430654,bassb001,bassbr01,2219,brianbass
Brian Boehringer,2000,2004,211,3,['Padres' '- - -' 'Pirates'],3,111145,boehb001,boehrbr01,984,brianboehringer
Brian Bohanon,2000,2001,54,45,['Rockies'],1,111155,bohab001,bohanbr01,1001126,brianbohanon
Brian Bruney,2004,2012,273,1,['Diamondbacks' 'Yankees' 'Nationals' 'White Sox'],4,430663,brunb001,brunebr01,1929,brianbruney
Brian Burres,2006,2011,106,56,['Orioles' 'Blue Jays' 'Pirates'],3,434638,burrb001,burrebr01,3425,brianburres
Brian Cooper,2000,2005,37,21,['Angels' 'Blue Jays' 'Giants'],3,150001,coopb001,coopebr01,1295,briancooper
Brian Duensing,2009,2018,484,61,['Twins' 'Orioles' 'Cubs'],3,488846,duenb001,duensbr01,4064,brianduensing
Brian Flynn,2013,2019,102,7,['Marlins' 'Royals'],2,543169,flynb001,flynnbr01,12027,brianflynn
Brian Gordon,2008,2011,5,2,['Rangers' 'Yankees'],2,430950,gordb001,gordobr01,2374,briangordon
Brian Johnson,2015,2019,65,26,['Red Sox'],1,598271,johnb004,johnsbr02,14272,brianjohnson
Brian Lawrence,2001,2007,168,152,['Padres' 'Mets'],2,400147,lawrb001,lawrebr02,1045,brianlawrence
Brian Matusz,2009,2016,280,69,['Orioles' '- - -'],2,451085,matub001,matusbr01,2646,brianmatusz
Brian Meadows,2000,2006,274,60,['- - -' 'Royals' 'Pirates' 'Devil Rays'],4,132785,meadb001,meadobr01,998,brianmeadows
Brian Moehler,2000,2010,234,154,['Tigers' '- - -' 'Astros' 'Marlins'],4,119215,moehb001,moehlbr01,480,brianmoehler
Brian O'Connor,2000,2000,6,1,['Pirates'],1,150256,oconb001,o'conbr02,1009709,briano'connor
