Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year,WHIP
Blue Jays,80,82,4.06,594,162,9,3,35,66.0,21.0,1447.0,6166,1475,705,653,185,444,29,68,39,5,958,2005,1.3261921216309607
Braves,90,72,3.98,646,162,8,3,38,73.0,24.0,1443.2,6186,1487,674,639,145,520,52,32,42,5,929,2005,1.390659645232816
Brewers,81,81,3.98,557,162,7,2,46,61.0,21.0,1438.0,6208,1382,697,636,169,569,52,45,66,8,1173,2005,1.3567454798331016
Nationals,81,81,3.87,632,162,4,1,51,69.0,18.0,1458.0,6286,1456,673,627,140,539,77,72,49,8,997,2005,1.368312757201646
Twins,83,79,3.72,558,162,9,4,44,52.0,16.0,1464.1,6072,1458,662,606,169,348,38,43,35,4,965,2005,1.2335223003893176
Athletics,88,74,3.7,572,162,9,2,38,47.0,18.0,1450.1,6080,1315,658,596,154,504,42,60,41,3,1075,2005,1.2543962485345839
Angels,95,67,3.68,541,162,7,3,54,55.0,17.0,1464.1,6158,1419,643,598,158,443,24,48,70,1,1126,2005,1.2717710538897617
White Sox,99,63,3.61,574,162,9,4,54,79.0,19.0,1475.2,6176,1392,645,592,167,459,42,52,65,9,1040,2005,1.2547451193058567
Indians,93,69,3.61,571,162,6,0,51,74.0,15.0,1452.2,6048,1363,642,582,157,413,20,41,26,4,1050,2005,1.2229720424183996
Astros,89,73,3.52,597,163,6,2,45,66.0,13.0,1443.0,6023,1336,609,564,155,440,29,59,38,8,1164,2005,1.2307692307692308
Cardinals,100,62,3.49,598,162,15,7,48,86.0,17.0,1445.2,6047,1399,634,560,153,443,27,60,41,5,974,2005,1.2745640741765845
Cubs,79,83,4.19,619,162,8,2,39,69.0,19.0,1440.0,6185,1357,714,671,186,576,48,50,57,7,1256,2005,1.3423611111111111
Devil Rays,67,95,5.4,563,162,1,0,43,66.0,26.0,1421.2,6384,1570,936,853,194,615,41,64,53,5,949,2005,1.5374331550802138
Royals,56,106,5.56,605,162,4,0,25,55.0,18.0,1413.1,6370,1640,935,873,178,580,33,74,69,9,924,2005,1.5710140825136227
Padres,88,74,3.88,637,162,4,2,50,81.0,21.0,1463.2,6175,1385,679,631,176,468,63,50,34,4,1097,2006,1.2664024056861674
Angels,89,73,4.04,542,162,5,3,50,50.0,13.0,1452.2,6149,1410,732,652,158,471,27,50,85,3,1164,2006,1.295276132764082
Astros,82,80,4.09,659,162,5,2,42,75.0,18.0,1468.2,6219,1425,719,668,182,480,65,54,44,2,1160,2006,1.2975071516142214
Mets,97,65,4.16,636,162,5,3,43,73.0,15.0,1461.1,6240,1402,731,675,180,527,39,62,37,5,1161,2006,1.3202381767161728
Athletics,93,69,4.22,606,162,5,2,54,83.0,20.0,1451.2,6279,1525,727,680,162,529,47,55,43,4,1003,2006,1.415380374862183
Dodgers,88,74,4.23,616,162,1,0,40,56.0,21.0,1460.1,6289,1524,751,686,152,492,40,41,54,8,1068,2006,1.3807273474419561
Marlins,78,84,4.37,600,162,6,2,41,69.0,27.0,1433.1,6294,1465,772,696,166,622,58,74,47,4,1088,2006,1.4562835810480776
